Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Венгринович,Данило,Климентович,Чоловіча,1963-01-24,Кінорежисер,селище Вишневе,"провулок Підйомний, буд. 8, Красногорівка, 19597",+380 79 029 78 02,pnehoda@example.net
Батуринець,Святослава,Ростиславівна,Жіноча,1955-02-27,Клоун,село Богуслав,"вулиця Артура Савельєва, буд. 268, Таврійськ, 33684",091 319-73-44,iakiv32@example.com
Данько,Семен,Миколайович,Чоловіча,1995-08-29,Педагог,хутір Богуслав,"проспект Матюшенка, буд. 7 кв. 87, Привілля, 93101",070 857 42 56,iarema82@example.com
Вертипорох,Станіслав,Леонідович,Чоловіча,1977-10-11,Художник,село Косів,"узвіз Амундсена, 1-й, буд. 62 кв. 13, Балаклія, 49154",+380 36 957-72-85,rostyslav78@example.net
Демʼяненко,Єва,Теодорівна,Жіноча,1968-06-19,Провізор,хутір Южноукраїнськ,"шосе Михайла Омеляновича-Павленка, буд. 61, Жидачів, 27515",+380 52 383 65 48,jshapoval@example.net
Піддубна,Орина,Вікторівна,Жіноча,1951-02-18,Вчитель,місто Жданівка,"проспект Трояндова, буд. 2 кв. 535, Черкаси, 28737",+380 51 943-11-90,oshakhrai@example.com
Радченко,Петро,Євгенійович,Чоловіча,1985-12-27,Актор,місто Дунаївці,"шосе Івасюка Володимира, буд. 4 кв. 0, Курахове, 18587",092 970-81-10,amaliiaverkhola@example.com
Ткаченко,Артем,Юхимович,Чоловіча,2004-08-19,Конструктор,хутір Татарбунари,"парк Купріна, буд. 604, Сімферополь, 34043",046 999-87-14,danylo57@example.net
Охріменко,Світлана,Гордіївна,Жіноча,1987-03-04,Кінокритик,селище Броди,"набережна Картамишевська, буд. 9, Коломия, 41274",+380 84 849-70-04,jmoskal@example.org
Дробʼязко,Богдан,Владиславович,Чоловіча,1977-01-01,Шериф,село Ладижин,"набережна Четверта, буд. 5 кв. 1, Соледар, 12223",005 413-23-55,vakhniistefan@example.com
Колодуб,Марія,Орестівна,Жіноча,1964-08-24,Локсмайстер,селище Кременець,"шосе Прибережний, буд. 36 кв. 903, Марганець, 79630",276 52 40,iskyba@example.org
Філіпенко,Миколай,Миронович,Чоловіча,1939-12-07,Будник,хутір Надвірна,"провулок Велика Садова, буд. 338, Токмак, 21263",+380 61 483 34 80,danylo75@example.net
Сиротенко,Хома,Богуславович,Чоловіча,1995-11-25,Геофізик,село Вовчанськ,"набережна Водний, буд. 09, Каховка, 31876",+380 64 691-40-29,valeriihabelko@example.com
Устенко,Клавдія,Несторівна,Жіноча,1943-09-15,Електрик,хутір Угнів,"проспект Олени Теліги, буд. 2, Апостолове, 54498",287-60-54,nadiiadanyliuk@example.org
Доценко,Володимира,Костянтинівна,Жіноча,1975-09-05,Гірничий інженер,хутір Шостка,"вулиця Евлії Челебі, буд. 508, Лубни, 80751",082 755 38 43,terezasimashkevych@example.com
Каденюк,Алла,Несторівна,Жіноча,1989-02-01,Секретар,хутір Пологи,"площа 11-та Лінія Марії Демченко, буд. 079, Долина, 84291",+380 72 500-18-84,vshovkoplias@example.com
Бевзенко,Василина,Іллівна,Жіноча,1995-09-23,Водій,село Гайворон,"набережна Лютневий 2-й, буд. 33 кв. 0, Черкаси, 28420",+380 74 978-28-69,iarynapustovit@example.org
Матяш,Йосип,Остапович,Чоловіча,1967-11-23,Ювелір,селище Лутугине,"площа Нова, буд. 64, Рені, 37338",+380 20 023-07-70,nadiia24@example.org
Михайлюк,Віолетта,Леонідівна,Жіноча,1973-10-03,Графік,хутір Гнівань,"набережна Севастопольський, буд. 30, Ізяслав, 40452",+380 (68) 806-35-14,vladyslav07@example.com
Олійник,Павло,Несторович,Чоловіча,1962-06-15,Юрист,село Нововолинськ,"провулок Строганов міст, буд. 802 кв. 10, Рівне, 99290",026 477 06 01,ivasiukanton@example.net
Забашта,Орхип,Хомович,Чоловіча,1972-11-04,Професор,село Українка,"парк Селищна, буд. 448 кв. 78, Семенівка, 15451",579-59-06,kabanenkovadym@example.net
Ярош,Пилип,Петрович,Чоловіча,1957-02-15,Медик,село Бунге,"шосе Поштовий, буд. 9, Залізне, 98078",058 559-19-62,tymofii91@example.net
Москаль,Дмитро,Охрімович,Чоловіча,1998-06-30,Музикант,хутір Білгород-Дністровський,"проспект Косовський, буд. 98 кв. 48, Звенигородка, 26743",+380 56 326-84-86,sviatoslavadotsenko@example.com
Теліженко,Данна,Азарівна,Жіноча,1964-05-13,Громадський діяч,хутір Звенигородка,"проспект Лінія 36-та, буд. 6, Чорноморськ, 05025",+380 (37) 118-60-86,leon87@example.com
Ващенко-Захарченко,Анжела,Ігорівна,Жіноча,2004-12-04,Науковець,село Виноградів,"шосе Тупиковий 1-й, буд. 0 кв. 90, Рогатин, 67200",895-61-49,boryslavishchak@example.com
Гузій,Василина,Гордіївна,Жіноча,1976-01-27,Бібліотекар,село Соснівка,"вулиця Травневий 4-й, буд. 57, Барвінкове, 73104",+380 25 761-82-28,priskasyrotenko@example.com
Єщенко,Ада,Глібівна,Жіноча,1948-09-23,Кур'єр,місто Новогродівка,"сквер Вишневий, буд. 12 кв. 163, Євпаторія, 32221",007 171 12 16,vernyhoraleopold@example.org
Баранець,Владислав,Микитович,Чоловіча,1979-03-23,Літературознавець,село Хотин,"площа Панаса Мирного, буд. 6, Селидове, 17655",+380 77 256 48 84,myroslav20@example.com
Якимчук,Нестор,Гаврилович,Чоловіча,1997-07-31,Стиліст,хутір Ізяслав,"проспект Чорноморський 12-й, буд. 27 кв. 48, Бережани, 74251",+380 (96) 578-43-00,lchekaliuk@example.net
Матвієнко,Алевтин,Бориславович,Чоловіча,1941-01-02,Математик,селище Жовті Води,"провулок Шебелінський, буд. 96, Скалат, 96122",082 647-44-51,iaroslavademydenko@example.net
Ковалюк,Одарка,Миронівна,Жіноча,2002-08-01,Каскадер,хутір Севастополь,"провулок Пшенична, буд. 297 кв. 309, Кам'янка-Бузька, 47634",+380 79 930-73-65,stepanshvachka@example.net
Дуплій,Климент,Артемович,Чоловіча,1986-09-24,Флорист,місто Чортків,"вулиця Фонтанська дорога, буд. 0, Іршава, 54725",008 867 14 90,klavdiia00@example.com
Зайченко,Альберт,Миколайович,Чоловіча,1975-06-05,Менеджер,місто Кременець,"площа Рівності 1-й, буд. 411 кв. 7, Балта, 38554",+380 33 538 42 40,fshutko@example.org
Бевз,Орися,Трохимівна,Жіноча,1993-09-06,Диригент,село Хотин,"шосе Іподромний, буд. 902, Ровеньки, 09760",041 319-66-58,tarassachenko@example.net
Бабко,Стефан,Геннадійович,Чоловіча,1988-12-29,Підприємець,село Буськ,"сквер Бучми, буд. 52, Балта, 78384",205-98-92,odemianiuk@example.com
Ірванець,Тимофій,Дмитрович,Чоловіча,1952-11-24,Археолог,селище Березань,"вулиця Картамишевський, буд. 39 кв. 7, Куп'янськ, 50305",+380 97 295 63 10,biarema@example.com
Литвин,Богодар,Трохимович,Чоловіча,1944-04-13,Продюсер,місто Мала Виска,"вулиця Генерала Алмазова, буд. 327 кв. 120, Тисмениця, 11458",558 64 00,habelkolukian@example.com
Петренко,Володимира,Алевтинівна,Жіноча,1996-09-17,Ді-джей,селище Бережани,"сквер Східчастий 3-й, буд. 541 кв. 05, Торецьк, 83788",815-52-62,baturynetstereza@example.com
Приймак,Оксенія,Геннадіївна,Жіноча,1947-10-02,Інженер,хутір Городня,"шосе Лінія 37-ма, буд. 4 кв. 2, Лиман, 16042",050 904 20 01,dperebyinis@example.com
Гайдай,Пантелеймон,Бориславович,Чоловіча,1981-07-31,Водій,місто Заліщики,"вулиця Чорноморський, буд. 765, Лиман, 43245",075 620 51 43,wlukash@example.net
